Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e279e819ccce155b15089e,65ba5335c9a29391ca7a88a1,APPROVED,Not Applicable,2025-10-05T14:00:13.863000Z,2025-10-05T14:01:14.011000Z,2025-10-05T14:01:16.053000Z,2025-10-05T14:01:17.470679Z,61.0,C4H367G4,3266,35,Male,Mixed,United States,United States,United States,Spanish,No,Full-Time
68e27a8a6ad7988dd00cf421,6471243669fd3f43501ed674,APPROVED,Not Applicable,2025-10-05T14:02:56.572000Z,2025-10-05T14:04:08.892000Z,2025-10-05T14:04:09.902000Z,2025-10-05T14:04:14.229364Z,73.0,C4H367G4,2436,67,Female,Other,United States,United States,United States,English,No,DATA_EXPIRED
68e27b237d6c6d876995673f,6621a2f38453311275d17d65,APPROVED,Not Applicable,2025-10-05T14:05:31.242000Z,2025-10-05T14:08:17.879000Z,2025-10-05T14:08:18.816000Z,2025-10-05T14:08:23.608771Z,167.0,C4H367G4,2343,24,Female,White,United States,United States,United States,English,No,Part-Time
68e27b8268f4f45b26a3de92,663274d555447e8270dde7d0,APPROVED,Not Applicable,2025-10-05T14:07:04.773000Z,2025-10-05T14:07:45.410000Z,2025-10-05T14:07:48.130000Z,2025-10-05T14:07:46.193889Z,41.0,C4H367G4,2465,41,Female,Other,United States,United States,Italy,English,No,Full-Time
68e27badab6e499b61b686bc,61640652141bd74963f8f1cb,APPROVED,Not Applicable,2025-10-05T14:07:45.463000Z,2025-10-05T14:10:05.013000Z,2025-10-05T14:10:07.488000Z,2025-10-05T14:10:05.836080Z,140.0,C4H367G4,1888,43,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
68e27ca331ec589950b67e41,67ec7012f63d646fa7f33bbf,APPROVED,Not Applicable,2025-10-05T14:12:10.252000Z,2025-10-05T14:13:26.847000Z,2025-10-05T14:13:30.230000Z,2025-10-05T14:13:27.568166Z,77.0,C4H367G4,2738,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e27cf9f64c04e0fbeffda2,6719a331021a36b9509eb8b5,APPROVED,Not Applicable,2025-10-05T14:13:18.138000Z,2025-10-05T14:14:45.239000Z,2025-10-05T14:14:46.244000Z,2025-10-05T14:14:46.262918Z,88.0,C4H367G4,2029,60,Female,Asian,Korea,United States,United States,English,No,Other
68e27d37a3b48f9d221f0f75,6704588e7de29739f9a0ac94,APPROVED,Not Applicable,2025-10-05T14:14:20.130000Z,2025-10-05T14:15:27.808000Z,2025-10-05T14:15:30.247000Z,2025-10-05T14:15:28.537240Z,68.0,C4H367G4,12,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e27d3b3c8e2fcc6b8305e4,66c0f464e0ff62798027b486,APPROVED,Not Applicable,2025-10-05T14:14:19.427000Z,2025-10-05T14:15:37.749000Z,2025-10-05T14:15:38.780000Z,2025-10-05T14:15:40.079151Z,79.0,C4H367G4,1795,25,Male,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
68e27e1cf97b2b9ea8d078e4,66e5bcf611d0bc991efda653,APPROVED,Not Applicable,2025-10-05T14:19:57.743000Z,2025-10-05T14:20:48.717000Z,2025-10-05T14:20:52.382000Z,2025-10-05T14:20:51.202698Z,51.0,C4H367G4,3975,20,Male,Asian,United States,United States,United States,English,Yes,Part-Time
68e27e37cb259ba2da962070,65a5bc46a459a1f1b5a8ade9,APPROVED,Not Applicable,2025-10-05T14:18:35.762000Z,2025-10-05T14:20:18.016000Z,2025-10-05T14:20:19.009000Z,2025-10-05T14:20:23.727586Z,103.0,C4H367G4,2084,22,Female,Asian,Taiwan,United States,United States,Mandarin,DATA_EXPIRED,Unemployed (and job seeking)
